meta_id,meta_source,meta_created,meta_updated,id,documents,approval_type,supplement_number,action_date,fda_application_num,notes
d84ed78dcec84651a56a1e533d1436d4,,2016-07-25T20:04:08.612256+00:00,2016-07-25T20:04:04.964923+00:00,NDA019383-011,[],New or Modified Indication,11,1997-09-18,NDA019383,Label is not available
ba3e1904b5d2460095145aa80e391c7a,,2016-07-25T20:05:29.158926+00:00,2016-07-25T20:05:29.158926+00:00,NDA020988-003,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/20988s3lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/20988s3ltr.pdf""]}]",New or Modified Indication,3,2001-10-19,NDA020988,
aed1f25fc9504a9a850f88fcd1d4adb5,,2016-07-25T20:06:58.991902+00:00,2016-07-25T20:06:58.991902+00:00,NDA020987-001,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/020987S1S2lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/20987S1S2ltr.pdf""]}]",New or Modified Indication,1,2001-06-12,NDA020987,
5f39a692772c436ebde0ff5f30770a8b,,2016-07-25T20:07:31.373172+00:00,2016-07-25T20:07:31.373172+00:00,NDA020180-016,"[{""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20180-S015&16_PROSCAR.PDF""]}]",New or Modified Indication,16,1998-03-20,NDA020180,Label is not available
3e955390085349c7ac57863dc23cc97c,,2016-07-25T20:06:58.986579+00:00,2016-07-25T20:06:58.986579+00:00,NDA020987-007,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/20987s7lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/20987s007.pdf""]}, {""name"": ""Approval Letter(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_Approv.pdf""]}, {""name"": ""Printed Labeling"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_prntlbl.pdf""]}, {""name"": ""Medical Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_medr.pdf""]}, {""name"": ""Chemistry Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_chemr.pdf""]}, {""name"": ""Environmental Assessment"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_EAfonsi.pdf""]}, {""name"": ""Administrative Document(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_admindocs.pdf""]}, {""name"": ""Correspondence"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-987S007_Protonix_corres.pdf""]}]",New or Modified Indication,7,2002-04-19,NDA020987,
46156b79c2784aba824b9fcf0e6c1010,,2016-07-25T20:26:02.924327+00:00,2016-07-25T20:26:02.924327+00:00,NDA017371-028,[],New or Modified Indication,28,1991-10-03,NDA017371,Label is not available
97bdf44cf3cb4d39a12d4c84b17ab3b9,,2016-07-25T20:26:18.094036+00:00,2016-07-25T20:26:18.094036+00:00,NDA007335-058,[],New or Modified Indication,58,1991-10-03,NDA007335,Label is not available
727937ddef3944b4a71976122552fdf8,,2016-07-25T20:28:55.297071+00:00,2016-07-25T20:28:55.297071+00:00,NDA008381-009,[],New or Modified Indication,9,1984-04-18,NDA008381,Label is not available
fd0601ec71d74fd89be11d7ff28147be,,2016-07-25T20:40:03.030303+00:00,2016-07-25T20:40:03.030303+00:00,NDA020131-001,[],New or Modified Indication,1,1994-11-21,NDA020131,Label is not available
4bd2d0dd251d45d181e46acadc4360db,,2016-07-25T20:40:03.028999+00:00,2016-07-25T20:40:03.028999+00:00,NDA020131-002,[],New or Modified Indication,2,1994-11-21,NDA020131,Label is not available
00e540d4a0184733aa3d6d39da0baa4b,,2016-07-25T20:40:09.012412+00:00,2016-07-25T20:40:09.012412+00:00,NDA022291-008,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022291s008lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/022291Orig1s008ltr.pdf""]}]",New or Modified Indication,8,2012-11-16,NDA022291,
f3e7d61c7b2d4cf5a18e482ec2efe6c5,,2016-07-25T20:40:48.639403+00:00,2016-07-25T20:40:48.639403+00:00,NDA050709-019,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/050708s024, 050709s019ltr.pdf""]}]",New or Modified Indication,19,2006-03-29,NDA050709,Label is not available
e949afd52476460f86db77d84e2a441a,,2016-07-25T20:40:48.656496+00:00,2016-07-25T20:40:48.656496+00:00,NDA050709-006,[],New or Modified Indication,6,1997-04-22,NDA050709,Label is not available
9b693c3f3018416d81bafb4129372d7c,,2016-07-25T20:41:17.578890+00:00,2016-07-25T20:41:17.578890+00:00,NDA050708-024,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/050708s024, 050709s019ltr.pdf""]}]",New or Modified Indication,24,2006-03-29,NDA050708,Label is not available
d2792ff061e049fab8a5f260c4b9dd1d,,2016-07-25T20:41:17.610179+00:00,2016-07-25T20:41:17.610179+00:00,NDA050708-008,[],New or Modified Indication,8,1997-04-22,NDA050708,Label is not available
e236b8d723fa476f9672fa3137d0e839,,2016-07-25T20:52:23.024504+00:00,2016-07-25T20:52:23.024504+00:00,NDA021457-003,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021457s003lbl.pdf""]}]",New or Modified Indication,3,2006-02-03,NDA021457,
e14e59ee0ac74ba2953a58762797c2bc,,2016-07-25T20:52:25.469541+00:00,2016-07-25T20:52:25.469541+00:00,NDA021992-033,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021992s033s036lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021992Orig1s033,s036ltr.pdf""]}]",New or Modified Indication,33,2013-02-14,NDA021992,
c30012f7aee547a9af53b5fd473362d7,,2016-07-25T20:54:05.355032+00:00,2016-07-25T20:54:05.355032+00:00,NDA019558-027,[],New or Modified Indication,27,1995-11-24,NDA019558,Label is not available
c912465454d54f52baf2439e1caa8876,,2016-07-25T20:54:05.390521+00:00,2016-07-25T20:54:05.390521+00:00,NDA019558-007,[],New or Modified Indication,7,1993-06-14,NDA019558,Label is not available
f996720748e94844b148b7ad7f837e33,,2016-07-25T20:58:41.445493+00:00,2016-07-25T20:57:57.843060+00:00,NDA019810-037,[],New or Modified Indication,37,1996-04-15,NDA019810,Label is not available
438b55bc7bd846dc84b6b401ba8469b2,,2016-07-25T20:58:41.516162+00:00,2016-07-25T20:57:57.918893+00:00,NDA019810-002,[],New or Modified Indication,2,1991-06-12,NDA019810,Label is not available
c84cec728df94b9c8808605c376763a3,,2016-07-25T20:58:41.441770+00:00,2016-07-25T20:57:57.839066+00:00,NDA019810-036,"[{""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/019810ap.pdf""]}]",New or Modified Indication,36,1996-11-26,NDA019810,Label is not available
16158a60fc384490bb0f379e9c60e6d3,,2016-07-25T20:58:41.446978+00:00,2016-07-25T20:57:57.852541+00:00,NDA019810-033,[],New or Modified Indication,33,1996-03-22,NDA019810,Label is not available
e326f438ded641c7991000949653fc80,,2016-07-25T20:58:41.460489+00:00,2016-07-25T20:57:57.858141+00:00,NDA019810-019,[],New or Modified Indication,19,1995-06-22,NDA019810,Label is not available
d7b9151780dc485f846e35e5be7d7683,,2016-07-25T20:59:50.547731+00:00,2016-07-25T20:59:30.044427+00:00,NDA020527-024,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/20527se1-024,slr026,slr031_prempro_lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/20527se1-024,slr026,slr031ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020527_s024_prempro.pdf""]}]",New or Modified Indication,24,2003-06-04,NDA020527,
85c533466788414aa95a78c433e9dbf6,,2016-07-25T21:00:04.653020+00:00,2016-07-25T21:00:04.653020+00:00,NDA020406-002,[],New or Modified Indication,2,1996-04-08,NDA020406,Label is not available
b887d58ab84a49958a843236cb9aed17,,2016-07-25T21:00:04.636104+00:00,2016-07-25T21:00:04.636104+00:00,NDA020406-010,[],New or Modified Indication,10,1997-04-17,NDA020406,Label is not available
dd16be6cdaf2481c998117ed041c9133,,2016-07-25T21:00:04.566928+00:00,2016-07-25T21:00:04.566928+00:00,NDA020406-033,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20406S33lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20406S33ltr.pdf""]}]",New or Modified Indication,33,2000-11-30,NDA020406,
a35866e606f44079ad654da3c99d82ab,,2016-07-25T21:00:04.634661+00:00,2016-07-25T21:00:04.634661+00:00,NDA020406-011,[],New or Modified Indication,11,1997-05-08,NDA020406,Label is not available
6ee4a317ca084a13b9e67e610269cc6b,,2016-07-25T21:00:46.176631+00:00,2016-07-25T21:00:46.176631+00:00,NDA020719-003,[],New or Modified Indication,3,1997-08-04,NDA020719,Label is not available
af98145dd2144519a0e33be172dc8001,,2016-07-25T21:00:46.177927+00:00,2016-07-25T21:00:46.177927+00:00,NDA020719-002,[],New or Modified Indication,2,1997-08-04,NDA020719,Label is not available
05375f074e1c48cc9be84cbf572e18fa,,2016-07-25T21:00:46.163139+00:00,2016-07-25T21:00:46.163139+00:00,NDA020719-012,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_prntlbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_appltr.pdf""]}, {""name"": ""Approval Letter(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_appltr.pdf""]}, {""name"": ""Final Printed Labeling"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_prntlbl.pdf""]}, {""name"": ""Part 1"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_medr_P1.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_medr_P2.pdf""]}, {""name"": ""Part 1"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_admindocs_corres_P1.pdf"", ""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay_admindocs_corres_P2.pdf""]}]",New or Modified Indication,12,1999-10-01,NDA020719,
6a88e2f504f54621973fc1fe7f2c7d3a,,2016-07-25T21:01:40.029673+00:00,2016-07-25T21:01:40.029673+00:00,NDA020216-060,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/020216s060lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/020216s060ltr.pdf""]}]",New or Modified Indication,60,2008-11-07,NDA020216,
eec4f3922bf642dca65f6e1cade79457,,2016-07-25T21:13:15.921125+00:00,2016-07-25T21:13:15.921125+00:00,NDA020482-008,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20482s7-8ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020482a_s007_s008.pdf""]}]",New or Modified Indication,8,1998-09-29,NDA020482,Label is not available
e34e5977d68d48429544a3888895aefc,,2016-07-25T21:13:15.922694+00:00,2016-07-25T21:13:15.922694+00:00,NDA020482-007,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20482s7-8ltr.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020482a_s007_s008.pdf""]}]",New or Modified Indication,7,1998-09-29,NDA020482,Label is not available
86c028a7b6e94ea5915b9f6284d87071,,2016-07-25T21:13:42.253976+00:00,2016-07-25T21:13:42.253976+00:00,NDA021038-010,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/021038s010ltr.pdf""]}]",New or Modified Indication,10,2008-10-17,NDA021038,Label is not available
bb91b3f5cbf443c59a37c7bd5a560154,,2016-07-25T21:13:55.780382+00:00,2016-07-25T21:13:55.780382+00:00,NDA050586-005,[],New or Modified Indication,5,1989-04-21,NDA050586,Label is not available
5af0e9268c644a45af1804c2df3b961a,,2016-07-25T21:17:25.100111+00:00,2016-07-25T21:17:25.100111+00:00,NDA019898-031,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S31LTR.PDF""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019898_S031_PRAVACHOL_TABLETS_AP.pdf""]}]",New or Modified Indication,31,2000-06-09,NDA019898,Label is not available
1c08396a36ad406d869aa67e02c129a1,,2016-07-25T21:17:25.106907+00:00,2016-07-25T21:17:25.106907+00:00,NDA019898-026,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S26LTR.PDF""]}]",New or Modified Indication,26,2000-01-18,NDA019898,Label is not available
c26e389e57474dda94c117f77f388b8b,,2016-07-25T21:17:25.122178+00:00,2016-07-25T21:17:25.122178+00:00,NDA019898-034,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/19898s34ltr.PDF""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/19898s34_Pravachol.pdf""]}]",New or Modified Indication,34,1999-10-14,NDA019898,Label is not available
56c234b7eafe492bba613b748242e083,,2016-07-25T21:17:25.141045+00:00,2016-07-25T21:17:25.141045+00:00,NDA019898-018,"[{""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/19898-S018_Pravachol.pdf""]}]",New or Modified Indication,18,1998-03-27,NDA019898,Label is not available
f7dc805a320c4a969b234a6e34ba8ea6,,2016-07-25T21:17:25.149245+00:00,2016-07-25T21:17:25.149245+00:00,NDA019898-013,[],New or Modified Indication,13,1996-03-22,NDA019898,Label is not available
a53fa610861842c887727d4fef8aca75,,2016-07-25T21:17:25.105473+00:00,2016-07-25T21:17:25.105473+00:00,NDA019898-027,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/19898S26LTR.PDF""]}]",New or Modified Indication,27,2000-01-18,NDA019898,Label is not available
50f212db92ce45b99d0a824e452bcdaf,,2016-07-25T21:17:25.142314+00:00,2016-07-25T21:17:25.142314+00:00,NDA019898-020,"[{""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/19898-S020_Pravachol.pdf""]}]",New or Modified Indication,20,1998-03-11,NDA019898,Label is not available
cbedc24c635b4887a5d6e20ad1b24daa,,2016-07-25T21:17:25.145310+00:00,2016-07-25T21:17:25.145310+00:00,NDA019898-015,[],New or Modified Indication,15,1996-07-02,NDA019898,Label is not available
7c80e9108a6640859fe98923c53965d3,,2016-07-25T21:17:35.271203+00:00,2016-07-25T21:17:35.271203+00:00,NDA020741-013,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/20741s13lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/20741se1-013ltr.pdf""]}]",New or Modified Indication,13,2002-10-21,NDA020741,
4a8125a951e4471993e443c6c2e29a26,,2016-07-25T21:17:25.101522+00:00,2016-07-25T21:17:25.101522+00:00,NDA019898-032,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/19898S32LTR.PDF""]}, {""name"": ""Approval Letter(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019898S032_Pravastatin_Approv.pdf""]}, {""name"": ""Medical Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019898S032_Pravastatin_medr.pdf""]}, {""name"": ""Chemistry Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019898S032_Pravastatin_chemr.pdf""]}, {""name"": ""Pharmacology Review(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019898S032_Pravastatin_pharmr.pdf""]}, {""name"": ""Administrative Document(s)"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019898S032_Pravastatin_admindocs.pdf""]}]",New or Modified Indication,32,2000-02-10,NDA019898,Label is not available
b9476e99788d48f39ead7b16f8f4e3af,,2016-07-25T21:49:25.551479+00:00,2016-07-25T21:49:25.551479+00:00,NDA020839-034,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/020839s034lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/020839s034LTR.pdf""]}, {""name"": ""Review"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/020839_s034_plavix.pdf""]}]",New or Modified Indication,34,2006-08-17,NDA020839,
2598c74a34ba4fa4bcc1e3a7e5bab8a0,,2016-07-25T21:52:03.782833+00:00,2016-07-25T21:52:03.782833+00:00,NDA050545-001,[],New or Modified Indication,1,1984-08-06,NDA050545,Label is not available
bf3c05c8a9e241fd803216d55c64587f,,2016-07-25T21:52:03.773297+00:00,2016-07-25T21:52:03.773297+00:00,NDA050545-008,[],New or Modified Indication,8,1984-08-06,NDA050545,Label is not available
bc8d22168eae406ea4785abee7a1fcdc,,2016-07-25T21:57:59.401168+00:00,2016-07-25T21:57:59.401168+00:00,NDA020451-003,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20451s3ltr.pdf""]}]",New or Modified Indication,3,1998-12-22,NDA020451,Label is not available
663f51d270974a188a90403bb98ef399,,2016-07-25T21:57:59.402539+00:00,2016-07-25T21:57:59.402539+00:00,NDA020451-002,"[{""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20451sap.pdf""]}]",New or Modified Indication,2,1998-01-09,NDA020451,Label is not available
61c7d1fb76354b2b910c98e482511b13,,2016-07-25T22:13:35.696600+00:00,2016-07-25T22:13:35.696600+00:00,NDA021299-017,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021299s016,s017,s018lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/021299s016, s017, s018ltr.pdf""]}]",New or Modified Indication,17,2006-12-09,NDA021299,
8d30a66b8b5f4fa4b650679bfe4ea7a6,,2016-07-25T22:13:48.060986+00:00,2016-07-25T22:13:48.060986+00:00,NDA012836-014,[],New or Modified Indication,14,1986-12-22,NDA012836,Label is not available
777730bb2a66447ca863089e53471b31,,2016-07-25T22:13:35.687081+00:00,2016-07-25T22:13:35.687081+00:00,NDA021299-018,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021299s016,s017,s018lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/021299s016, s017, s018ltr.pdf""]}]",New or Modified Indication,18,2006-12-09,NDA021299,
0e1f8e56db60477a991abb27c4dc246e,,2016-07-25T22:13:35.697954+00:00,2016-07-25T22:13:35.697954+00:00,NDA021299-016,"[{""name"": ""Label"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021299s016,s017,s018lbl.pdf""]}, {""name"": ""Letter"", ""urls"": [""http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/021299s016, s017, s018ltr.pdf""]}]",New or Modified Indication,16,2006-12-09,NDA021299,
